Method,Name,Error,Occurrences
GET,r06_03_itinerary_pl,"CatchResponseError(""Assertion Error: text pattern 'Flights List' was not found in response"")",1
POST,r01_01_login_pl,"CatchResponseError(""Assertion Error: text pattern 'Welcome to the Web Tours site.' was not found in response"")",25
